
Time
 ==================== 
Time,Unit,Category,Time,Set 1,TrackID,ID,
0,h,Spot,1,Tracked,1000020547,20547,
0,h,Spot,1,Tracked,1000020549,20549,
0,h,Spot,1,Tracked,1000020550,20550,
0,h,Spot,1,Tracked,1000020551,20551,
0,h,Spot,1,Tracked,1000020552,20552,
0,h,Spot,1,Untracked,1000020554,20554,
0,h,Spot,1,Untracked,1000020555,20555,
0,h,Spot,1,Untracked,1000020556,20556,
0,h,Spot,1,Tracked,1000020557,20557,
0,h,Spot,1,Tracked,1000020560,20560,
0,h,Spot,1,Tracked,1000020561,20561,
0,h,Spot,1,Tracked,1000020562,20562,
0,h,Spot,1,Untracked,1000020565,20565,
0,h,Spot,1,Untracked,1000020566,20566,
0,h,Spot,1,Untracked,1000020567,20567,
0,h,Spot,1,Untracked,1000020568,20568,
0,h,Spot,1,Untracked,1000020569,20569,
0,h,Spot,1,Tracked,1000020571,20571,
0,h,Spot,1,Tracked,1000020573,20573,
0,h,Spot,1,Tracked,1000020574,20574,
0,h,Spot,1,Tracked,1000020575,20575,
0,h,Spot,1,Tracked,1000020576,20576,
0,h,Spot,1,Tracked,1000020577,20577,
0,h,Spot,1,Tracked,1000020579,20579,
0,h,Spot,1,Tracked,1000020580,20580,
0,h,Spot,1,Tracked,1000020582,20582,
0,h,Spot,1,Tracked,1000020583,20583,
0,h,Spot,1,Tracked,1000020584,20584,
0,h,Spot,1,Untracked,1000020585,20585,
0,h,Spot,1,Untracked,1000020586,20586,
0,h,Spot,1,Untracked,1000020587,20587,
0,h,Spot,1,Untracked,1000020589,20589,
0,h,Spot,1,Untracked,1000020590,20590,
0,h,Spot,1,Untracked,1000020591,20591,
0,h,Spot,1,Tracked,1000020592,20592,
0,h,Spot,1,Untracked,1000020593,20593,
0,h,Spot,1,Untracked,1000020594,20594,
0,h,Spot,1,Untracked,1000020595,20595,
0,h,Spot,1,Untracked,1000020596,20596,
0,h,Spot,1,Tracked,1000020597,20597,
0,h,Spot,1,Tracked,1000020598,20598,
0,h,Spot,1,Tracked,1000020599,20599,
0,h,Spot,1,Tracked,1000020600,20600,
0,h,Spot,1,Tracked,1000020601,20601,
0,h,Spot,1,Tracked,1000020602,20602,
0,h,Spot,1,Untracked,1000020605,20605,
0,h,Spot,1,Untracked,1000020606,20606,
0,h,Spot,1,Untracked,1000020607,20607,
0,h,Spot,1,Untracked,1000020608,20608,
0,h,Spot,1,Untracked,1000020609,20609,
0,h,Spot,1,Tracked,1000020610,20610,
0,h,Spot,1,Tracked,1000020611,20611,
