empty,,,,,,
Time,,,,,,
 ==================== ,,,,,,
Time,Unit,Category,Time,Set 1,TrackID,ID
0,,Spot,1,Untracked,1000000023,23
0,,Spot,1,Untracked,1000000027,27
0,,Spot,1,Untracked,1000000061,61
0,,Spot,1,Untracked,1000000062,62
0,,Spot,1,Untracked,1000000064,64
0,,Spot,1,Untracked,1000000065,65
0,,Spot,1,Untracked,1000000066,66
0,,Spot,1,Untracked,1000000074,74
0,,Spot,1,Untracked,1000000087,87
0,,Spot,1,Untracked,1000000095,95
0,,Spot,1,Untracked,1000000097,97
0,,Spot,1,Untracked,1000000098,98
0,,Spot,1,Untracked,1000000103,103
0,,Spot,1,Untracked,1000000112,112
0,,Spot,1,Untracked,1000000114,114
0,,Spot,1,Untracked,1000000124,124
0,,Spot,1,Untracked,1000000136,136
0,,Spot,1,Untracked,1000000137,137
0,,Spot,1,Untracked,1000000138,138
0,,Spot,1,Untracked,1000000139,139
0,,Spot,1,Untracked,1000000140,140
0,,Spot,1,Untracked,1000000141,141
0,,Spot,1,Untracked,1000000142,142
0,,Spot,1,Untracked,1000000143,143
0,,Spot,1,Untracked,1000000144,144
0,,Spot,1,Untracked,1000000145,145
0,,Spot,1,Untracked,1000000146,146
0,,Spot,1,Untracked,1000000147,147
0,,Spot,1,Untracked,1000000148,148
0,,Spot,1,Untracked,1000000149,149
0,,Spot,1,Untracked,1000000150,150
0,,Spot,1,Untracked,1000000151,151
0,,Spot,1,Untracked,1000000152,152
0,,Spot,1,Untracked,1000000153,153
0,,Spot,1,Untracked,1000000154,154
0,,Spot,1,Untracked,1000000155,155
0,,Spot,1,Untracked,1000000156,156
0,,Spot,1,Untracked,1000000158,158
0,,Spot,1,Untracked,1000000159,159
0,,Spot,1,Untracked,1000000160,160
0,,Spot,1,Untracked,1000000161,161
0,,Spot,1,Untracked,1000000162,162
0,,Spot,1,Untracked,1000000163,163
0,,Spot,1,Untracked,1000000164,164
0,,Spot,1,Untracked,1000000165,165
0,,Spot,1,Untracked,1000000173,173
0,,Spot,1,Untracked,1000000174,174
0,,Spot,1,Untracked,1000000177,177
0,,Spot,1,Untracked,1000000191,191
0,,Spot,1,Untracked,1000000193,193
0,,Spot,1,Untracked,1000000194,194
0,,Spot,1,Untracked,1000000196,196
0,,Spot,1,Untracked,1000000201,201
0,,Spot,1,Untracked,1000000208,208
0,,Spot,1,Untracked,1000000209,209
0,,Spot,1,Untracked,1000000212,212
0,,Spot,1,Untracked,1000000217,217
0,,Spot,1,Untracked,1000000219,219
0,,Spot,1,Untracked,1000000224,224
0,,Spot,1,Untracked,1000000250,250
0,,Spot,1,Untracked,1000000256,256
0,,Spot,1,Untracked,1000000257,257
0,,Spot,1,Untracked,1000000258,258
0,,Spot,1,Untracked,1000000280,280
0,,Spot,1,Untracked,1000000288,288
0,,Spot,1,Untracked,1000000291,291
0,,Spot,1,Untracked,1000000292,292
0,,Spot,1,Untracked,1000000293,293
0,,Spot,1,Untracked,1000000294,294
0,,Spot,1,Untracked,1000000295,295
0,,Spot,1,Untracked,1000000296,296
0,,Spot,1,Untracked,1000000297,297
0,,Spot,1,Untracked,1000000299,299
0,,Spot,1,Untracked,1000000300,300
0,,Spot,1,Untracked,1000000301,301
0,,Spot,1,Untracked,1000000302,302
0,,Spot,1,Untracked,1000000303,303
0,,Spot,1,Untracked,1000000304,304
0,,Spot,1,Untracked,1000000305,305
0,,Spot,1,Untracked,1000000306,306
0,,Spot,1,Untracked,1000000308,308
0,,Spot,1,Untracked,1000000310,310
0,,Spot,1,Untracked,1000000311,311
0,,Spot,1,Untracked,1000000312,312
0,,Spot,1,Untracked,1000000330,330
