
Displacement^2
 ==================== 
Displacement^2,Unit,Category,Time,Set 1,TrackID,ID,
0,um^2,Spot,1,Untracked,1000000000,0,
0,um^2,Spot,1,Untracked,1000000001,1,
0,um^2,Spot,1,Untracked,1000000002,2,
0,um^2,Spot,1,Untracked,1000000003,3,
0,um^2,Spot,1,Untracked,1000000004,4,
0,um^2,Spot,1,Untracked,1000000007,7,
0,um^2,Spot,1,Untracked,1000000008,8,
0,um^2,Spot,1,Untracked,1000000009,9,
0,um^2,Spot,1,Untracked,1000000010,10,
0,um^2,Spot,1,Untracked,1000000012,12,
0,um^2,Spot,1,Untracked,1000000013,13,
0,um^2,Spot,1,Untracked,1000000015,15,
0,um^2,Spot,1,Untracked,1000000016,16,
0,um^2,Spot,1,Tracked,1000000018,18,
0,um^2,Spot,1,Tracked,1000000023,23,
0,um^2,Spot,1,Tracked,1000000024,24,
0,um^2,Spot,1,Untracked,1000000025,25,
0,um^2,Spot,1,Untracked,1000000026,26,
0,um^2,Spot,1,Untracked,1000000027,27,
0,um^2,Spot,1,Untracked,1000000029,29,
0,um^2,Spot,1,Untracked,1000000030,30,
0,um^2,Spot,1,Untracked,1000000031,31,
0,um^2,Spot,1,Untracked,1000000032,32,
0,um^2,Spot,1,Untracked,1000000037,37,
0,um^2,Spot,1,Untracked,1000000039,39,
0,um^2,Spot,1,Tracked,1000000040,40,
0,um^2,Spot,1,Untracked,1000000045,45,
0,um^2,Spot,1,Untracked,1000000046,46,
0,um^2,Spot,1,Untracked,1000000048,48,
0,um^2,Spot,1,Untracked,1000000050,50,
0,um^2,Spot,1,Untracked,1000000051,51,
0,um^2,Spot,1,Untracked,1000000052,52,
0,um^2,Spot,1,Untracked,1000000053,53,
0,um^2,Spot,1,Untracked,1000000054,54,
0,um^2,Spot,1,Untracked,1000000055,55,
0,um^2,Spot,1,Untracked,1000000056,56,
0,um^2,Spot,1,Untracked,1000000057,57,
0,um^2,Spot,1,Untracked,1000000059,59,
0,um^2,Spot,1,Untracked,1000000060,60,
0,um^2,Spot,1,Untracked,1000000061,61,
0,um^2,Spot,1,Untracked,1000000062,62,
0,um^2,Spot,1,Untracked,1000000063,63,
0,um^2,Spot,1,Untracked,1000000066,66,
0,um^2,Spot,1,Untracked,1000000069,69,
0,um^2,Spot,1,Tracked,1000000070,70,
0,um^2,Spot,1,Tracked,1000000071,71,
0,um^2,Spot,1,Tracked,1000000072,72,
0,um^2,Spot,1,Tracked,1000000073,73,
0,um^2,Spot,1,Tracked,1000000074,74,
0,um^2,Spot,1,Untracked,1000000075,75,
0,um^2,Spot,1,Tracked,1000000076,76,
0,um^2,Spot,1,Tracked,1000000077,77,
0,um^2,Spot,1,Untracked,1000000080,80,
0,um^2,Spot,1,Untracked,1000000085,85,
0,um^2,Spot,1,Untracked,1000000086,86,
0,um^2,Spot,1,Untracked,1000000088,88,
0,um^2,Spot,1,Untracked,1000000090,90,
0,um^2,Spot,1,Untracked,1000000091,91,
0,um^2,Spot,1,Untracked,1000000092,92,
0,um^2,Spot,1,Untracked,1000000095,95,
0,um^2,Spot,1,Untracked,1000000096,96,
0,um^2,Spot,1,Untracked,1000000097,97,
0,um^2,Spot,1,Untracked,1000000098,98,
0,um^2,Spot,1,Untracked,1000000099,99,
0,um^2,Spot,1,Untracked,1000000100,100,
0,um^2,Spot,1,Untracked,1000000106,106,
0,um^2,Spot,1,Untracked,1000000115,115,
0,um^2,Spot,1,Untracked,1000000116,116,
0,um^2,Spot,1,Tracked,1000000127,127,
0,um^2,Spot,1,Untracked,1000000129,129,
0,um^2,Spot,1,Tracked,1000000131,131,
0,um^2,Spot,1,Untracked,1000000141,141,
0,um^2,Spot,1,Untracked,1000000146,146,
0,um^2,Spot,1,Untracked,1000000147,147,
0,um^2,Spot,1,Untracked,1000000151,151,
0,um^2,Spot,1,Untracked,1000000152,152,
0,um^2,Spot,1,Untracked,1000000153,153,
0,um^2,Spot,1,Untracked,1000000157,157,
0,um^2,Spot,1,Untracked,1000000158,158,
0,um^2,Spot,1,Untracked,1000000161,161,
0,um^2,Spot,1,Tracked,1000000168,168,
0,um^2,Spot,1,Tracked,1000000172,172,
0,um^2,Spot,1,Untracked,1000000173,173,
0,um^2,Spot,1,Untracked,1000000178,178,
0,um^2,Spot,1,Untracked,1000000181,181,
0,um^2,Spot,1,Untracked,1000000183,183,
0,um^2,Spot,1,Untracked,1000000187,187,
0,um^2,Spot,1,Untracked,1000000209,209,
0,um^2,Spot,1,Untracked,1000000210,210,
0,um^2,Spot,1,Tracked,1000007327,7327,
0,um^2,Spot,1,Tracked,1000007334,7334,
0,um^2,Spot,1,Tracked,1000007341,7341,
0,um^2,Spot,1,Tracked,1000007347,7347,
0,um^2,Spot,1,Tracked,1000007354,7354,
0,um^2,Spot,1,Tracked,1000007361,7361,
0,um^2,Spot,1,Tracked,1000007367,7367,
0,um^2,Spot,1,Tracked,1000007373,7373,
0,um^2,Spot,1,Tracked,1000007379,7379,
0,um^2,Spot,1,Tracked,1000007386,7386,
0,um^2,Spot,1,Tracked,1000007392,7392,
0,um^2,Spot,1,Tracked,1000007402,7402,
21.8467,um^2,Spot,2,Untracked,1000000000,7403,
102.904,um^2,Spot,2,Untracked,1000000002,7404,
194.314,um^2,Spot,2,Untracked,1000000001,7405,
123.078,um^2,Spot,2,Untracked,1000000003,7406,
186.903,um^2,Spot,2,Untracked,1000000004,7407,
70.076,um^2,Spot,2,Untracked,1000000009,7408,
110.75,um^2,Spot,2,Untracked,1000000008,7409,
90.2117,um^2,Spot,2,Untracked,1000000010,7410,
14.633,um^2,Spot,2,Tracked,1000000018,7411,
12.7377,um^2,Spot,2,Tracked,1000000024,7412,
40.9064,um^2,Spot,2,Tracked,1000000023,7413,
26.1673,um^2,Spot,2,Untracked,1000000025,7414,
43.8932,um^2,Spot,2,Untracked,1000000026,7415,
107.359,um^2,Spot,2,Untracked,1000000027,7416,
52.9209,um^2,Spot,2,Untracked,1000000029,7417,
124.132,um^2,Spot,2,Untracked,1000000030,7418,
8.21466,um^2,Spot,2,Untracked,1000000037,7419,
13.6565,um^2,Spot,2,Untracked,1000000039,7420,
14.5618,um^2,Spot,2,Tracked,1000000040,7421,
0,um^2,Spot,2,Untracked,1000007422,7422,
2.66433,um^2,Spot,2,Untracked,1000000052,7423,
2.98829,um^2,Spot,2,Untracked,1000000056,7424,
6.03037,um^2,Spot,2,Untracked,1000000053,7425,
66.9906,um^2,Spot,2,Untracked,1000000046,7426,
48.9786,um^2,Spot,2,Untracked,1000000048,7427,
39.1385,um^2,Spot,2,Untracked,1000000050,7428,
44.3123,um^2,Spot,2,Untracked,1000000051,7429,
0,um^2,Spot,2,Untracked,1000007430,7430,
26.1891,um^2,Spot,2,Untracked,1000000054,7431,
16.0024,um^2,Spot,2,Untracked,1000000060,7432,
6.92497,um^2,Spot,2,Untracked,1000000057,7433,
0,um^2,Spot,2,Untracked,1000007434,7434,
0,um^2,Spot,2,Untracked,1000007435,7435,
82.55,um^2,Spot,2,Untracked,1000000055,7436,
16.2781,um^2,Spot,2,Untracked,1000000063,7437,
35.3033,um^2,Spot,2,Untracked,1000000061,7438,
62.2698,um^2,Spot,2,Untracked,1000000062,7439,
5.43432,um^2,Spot,2,Tracked,1000000070,7440,
5.26535,um^2,Spot,2,Untracked,1000000069,7441,
4.72507,um^2,Spot,2,Tracked,1000000071,7442,
6.88234,um^2,Spot,2,Tracked,1000000073,7443,
3.85657,um^2,Spot,2,Tracked,1000000074,7444,
32.0769,um^2,Spot,2,Tracked,1000000072,7445,
24.1082,um^2,Spot,2,Untracked,1000000075,7446,
10.8327,um^2,Spot,2,Tracked,1000000076,7447,
21.8258,um^2,Spot,2,Tracked,1000000077,7448,
