
Intensity Center Ch=8 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
450,,Spot,8,Image 1,1,5,
897,,Spot,8,Image 1,1,23,
389,,Spot,8,Image 1,1,29,
347,,Spot,8,Image 1,1,68,
431,,Spot,8,Image 1,1,75,
667,,Spot,8,Image 1,1,77,
385,,Spot,8,Image 1,1,88,
672,,Spot,8,Image 1,1,127,
556,,Spot,8,Image 1,1,142,
731,,Spot,8,Image 1,1,143,
497,,Spot,8,Image 1,1,162,
537,,Spot,8,Image 1,1,164,
339,,Spot,8,Image 1,1,167,
855,,Spot,8,Image 1,1,171,
525,,Spot,8,Image 1,1,173,
685,,Spot,8,Image 1,1,174,
288,,Spot,8,Image 1,1,182,
282,,Spot,8,Image 1,1,188,
448,,Spot,8,Image 1,1,190,
440,,Spot,8,Image 1,1,192,
407,,Spot,8,Image 1,1,201,
817,,Spot,8,Image 1,1,217,
484,,Spot,8,Image 1,1,222,
356,,Spot,8,Image 1,1,237,
370,,Spot,8,Image 1,1,239,
708,,Spot,8,Image 1,1,241,
505,,Spot,8,Image 1,1,242,
1023,,Spot,8,Image 1,1,244,
409,,Spot,8,Image 1,1,246,
415,,Spot,8,Image 1,1,250,
915,,Spot,8,Image 1,1,257,
688,,Spot,8,Image 1,1,300,
794,,Spot,8,Image 1,1,303,
443,,Spot,8,Image 1,1,305,
542,,Spot,8,Image 1,1,309,
454,,Spot,8,Image 1,1,313,
798,,Spot,8,Image 1,1,350,
734,,Spot,8,Image 1,1,354,
756,,Spot,8,Image 1,1,364,
535,,Spot,8,Image 1,1,369,
525,,Spot,8,Image 1,1,378,
534,,Spot,8,Image 1,1,380,
348,,Spot,8,Image 1,1,387,
231,,Spot,8,Image 1,1,397,
472,,Spot,8,Image 1,1,400,
339,,Spot,8,Image 1,1,404,
801,,Spot,8,Image 1,1,406,
391,,Spot,8,Image 1,1,412,
700,,Spot,8,Image 1,1,413,
799,,Spot,8,Image 1,1,457,
215,,Spot,8,Image 1,1,458,
409,,Spot,8,Image 1,1,461,
694,,Spot,8,Image 1,1,484,
719,,Spot,8,Image 1,1,485,
446,,Spot,8,Image 1,1,487,
886,,Spot,8,Image 1,1,498,
797,,Spot,8,Image 1,1,509,
576,,Spot,8,Image 1,1,510,
539,,Spot,8,Image 1,1,513,
959,,Spot,8,Image 1,1,518,
814,,Spot,8,Image 1,1,520,
748,,Spot,8,Image 1,1,522,
1016,,Spot,8,Image 1,1,528,
556,,Spot,8,Image 1,1,552,
271,,Spot,8,Image 1,1,565,
525,,Spot,8,Image 1,1,572,
367,,Spot,8,Image 1,1,604,
837,,Spot,8,Image 1,1,615,
614,,Spot,8,Image 1,1,616,
952,,Spot,8,Image 1,1,626,
435,,Spot,8,Image 1,1,631,
492,,Spot,8,Image 1,1,661,
813,,Spot,8,Image 1,1,688,
633,,Spot,8,Image 1,1,693,
481,,Spot,8,Image 1,1,696,
442,,Spot,8,Image 1,1,704,
427,,Spot,8,Image 1,1,707,
787,,Spot,8,Image 1,1,714,
435,,Spot,8,Image 1,1,716,
205,,Spot,8,Image 1,1,718,
239,,Spot,8,Image 1,1,730,
782,,Spot,8,Image 1,1,748,
698,,Spot,8,Image 1,1,762,
884,,Spot,8,Image 1,1,780,
833,,Spot,8,Image 1,1,782,
921,,Spot,8,Image 1,1,783,
957,,Spot,8,Image 1,1,789,
649,,Spot,8,Image 1,1,790,
971,,Spot,8,Image 1,1,792,
590,,Spot,8,Image 1,1,794,
1023,,Spot,8,Image 1,1,797,
559,,Spot,8,Image 1,1,798,
460,,Spot,8,Image 1,1,800,
914,,Spot,8,Image 1,1,809,
409,,Spot,8,Image 1,1,812,
398,,Spot,8,Image 1,1,814,
791,,Spot,8,Image 1,1,822,
823,,Spot,8,Image 1,1,823,
437,,Spot,8,Image 1,1,825,
789,,Spot,8,Image 1,1,829,
984,,Spot,8,Image 1,1,830,
479,,Spot,8,Image 1,1,835,
405,,Spot,8,Image 1,1,837,
418,,Spot,8,Image 1,1,845,
315,,Spot,8,Image 1,1,889,
303,,Spot,8,Image 1,1,900,
292,,Spot,8,Image 1,1,903,
866,,Spot,8,Image 1,1,905,
394,,Spot,8,Image 1,1,906,
720,,Spot,8,Image 1,1,914,
543,,Spot,8,Image 1,1,917,
758,,Spot,8,Image 1,1,921,
343,,Spot,8,Image 1,1,923,
501,,Spot,8,Image 1,1,933,
770,,Spot,8,Image 1,1,936,
418,,Spot,8,Image 1,1,937,
577,,Spot,8,Image 1,1,939,
787,,Spot,8,Image 1,1,941,
606,,Spot,8,Image 1,1,949,
600,,Spot,8,Image 1,1,952,
882,,Spot,8,Image 1,1,965,
471,,Spot,8,Image 1,1,978,
658,,Spot,8,Image 1,1,989,
383,,Spot,8,Image 1,1,994,
550,,Spot,8,Image 1,1,997,
780,,Spot,8,Image 1,1,1010,
783,,Spot,8,Image 1,1,1018,
440,,Spot,8,Image 1,1,1021,
772,,Spot,8,Image 1,1,1033,
386,,Spot,8,Image 1,1,1041,
475,,Spot,8,Image 1,1,1043,
723,,Spot,8,Image 1,1,1048,
877,,Spot,8,Image 1,1,1054,
229,,Spot,8,Image 1,1,1064,
814,,Spot,8,Image 1,1,1065,
897,,Spot,8,Image 1,1,1070,
207,,Spot,8,Image 1,1,1073,
970,,Spot,8,Image 1,1,1076,
489,,Spot,8,Image 1,1,1077,
857,,Spot,8,Image 1,1,1085,
602,,Spot,8,Image 1,1,1091,
494,,Spot,8,Image 1,1,1093,
986,,Spot,8,Image 1,1,1094,
807,,Spot,8,Image 1,1,1096,
680,,Spot,8,Image 1,1,1098,
577,,Spot,8,Image 1,1,1101,
465,,Spot,8,Image 1,1,1105,
1023,,Spot,8,Image 1,1,1108,
292,,Spot,8,Image 1,1,1109,
1000,,Spot,8,Image 1,1,1113,
737,,Spot,8,Image 1,1,1124,
315,,Spot,8,Image 1,1,1132,
535,,Spot,8,Image 1,1,1133,
1008,,Spot,8,Image 1,1,1139,
695,,Spot,8,Image 1,1,1146,
650,,Spot,8,Image 1,1,1149,
479,,Spot,8,Image 1,1,1150,
603,,Spot,8,Image 1,1,1153,
455,,Spot,8,Image 1,1,1154,
513,,Spot,8,Image 1,1,1158,
977,,Spot,8,Image 1,1,1165,
971,,Spot,8,Image 1,1,1169,
878,,Spot,8,Image 1,1,1180,
760,,Spot,8,Image 1,1,1184,
486,,Spot,8,Image 1,1,1185,
917,,Spot,8,Image 1,1,1189,
881,,Spot,8,Image 1,1,1193,
812,,Spot,8,Image 1,1,1196,
647,,Spot,8,Image 1,1,1198,
438,,Spot,8,Image 1,1,1199,
544,,Spot,8,Image 1,1,1201,
367,,Spot,8,Image 1,1,1203,
466,,Spot,8,Image 1,1,1209,
416,,Spot,8,Image 1,1,1210,
296,,Spot,8,Image 1,1,1211,
336,,Spot,8,Image 1,1,1213,
